DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20200804,04/08/2020,Tuesday,August,Aug,8,3,2020
20200805,05/08/2020,Wednesday,August,Aug,8,3,2020
20200806,06/08/2020,Thursday,August,Aug,8,3,2020
20200807,07/08/2020,Friday,August,Aug,8,3,2020
20200808,08/08/2020,Saturday,August,Aug,8,3,2020
20200809,09/08/2020,Sunday,August,Aug,8,3,2020
20200810,10/08/2020,Monday,August,Aug,8,3,2020
20200811,11/08/2020,Tuesday,August,Aug,8,3,2020
20200812,12/08/2020,Wednesday,August,Aug,8,3,2020
20200813,13/08/2020,Thursday,August,Aug,8,3,2020
20200814,14/08/2020,Friday,August,Aug,8,3,2020
20200815,15/08/2020,Saturday,August,Aug,8,3,2020
20200816,16/08/2020,Sunday,August,Aug,8,3,2020
20200817,17/08/2020,Monday,August,Aug,8,3,2020
20200818,18/08/2020,Tuesday,August,Aug,8,3,2020
20200819,19/08/2020,Wednesday,August,Aug,8,3,2020
20200820,20/08/2020,Thursday,August,Aug,8,3,2020
20200821,21/08/2020,Friday,August,Aug,8,3,2020
20200822,22/08/2020,Saturday,August,Aug,8,3,2020
20200823,23/08/2020,Sunday,August,Aug,8,3,2020
20200824,24/08/2020,Monday,August,Aug,8,3,2020
20200825,25/08/2020,Tuesday,August,Aug,8,3,2020
20200826,26/08/2020,Wednesday,August,Aug,8,3,2020
20200827,27/08/2020,Thursday,August,Aug,8,3,2020
20200828,28/08/2020,Friday,August,Aug,8,3,2020
20200829,29/08/2020,Saturday,August,Aug,8,3,2020
20200830,30/08/2020,Sunday,August,Aug,8,3,2020
20200831,31/08/2020,Monday,August,Aug,8,3,2020
20200901,01/09/2020,Tuesday,September,Sep,9,3,2020
20200902,02/09/2020,Wednesday,September,Sep,9,3,2020
20200903,03/09/2020,Thursday,September,Sep,9,3,2020
20200904,04/09/2020,Friday,September,Sep,9,3,2020
20200905,05/09/2020,Saturday,September,Sep,9,3,2020
20200906,06/09/2020,Sunday,September,Sep,9,3,2020
20200907,07/09/2020,Monday,September,Sep,9,3,2020
20200908,08/09/2020,Tuesday,September,Sep,9,3,2020
20200909,09/09/2020,Wednesday,September,Sep,9,3,2020
20200910,10/09/2020,Thursday,September,Sep,9,3,2020
20200911,11/09/2020,Friday,September,Sep,9,3,2020
20200912,12/09/2020,Saturday,September,Sep,9,3,2020
20200913,13/09/2020,Sunday,September,Sep,9,3,2020
20200914,14/09/2020,Monday,September,Sep,9,3,2020
20200915,15/09/2020,Tuesday,September,Sep,9,3,2020
20200916,16/09/2020,Wednesday,September,Sep,9,3,2020
20200917,17/09/2020,Thursday,September,Sep,9,3,2020
20200918,18/09/2020,Friday,September,Sep,9,3,2020
20200919,19/09/2020,Saturday,September,Sep,9,3,2020
20200920,20/09/2020,Sunday,September,Sep,9,3,2020
20200921,21/09/2020,Monday,September,Sep,9,3,2020
20200922,22/09/2020,Tuesday,September,Sep,9,3,2020
20200923,23/09/2020,Wednesday,September,Sep,9,3,2020
20200924,24/09/2020,Thursday,September,Sep,9,3,2020
20200925,25/09/2020,Friday,September,Sep,9,3,2020
20200926,26/09/2020,Saturday,September,Sep,9,3,2020
20200927,27/09/2020,Sunday,September,Sep,9,3,2020
20200928,28/09/2020,Monday,September,Sep,9,3,2020
20200929,29/09/2020,Tuesday,September,Sep,9,3,2020
20200930,30/09/2020,Wednesday,September,Sep,9,3,2020
20201001,01/10/2020,Thursday,October,Oct,10,4,2020
20201002,02/10/2020,Friday,October,Oct,10,4,2020
20201003,03/10/2020,Saturday,October,Oct,10,4,2020
20201004,04/10/2020,Sunday,October,Oct,10,4,2020
20201005,05/10/2020,Monday,October,Oct,10,4,2020
20201006,06/10/2020,Tuesday,October,Oct,10,4,2020
20201007,07/10/2020,Wednesday,October,Oct,10,4,2020
20201008,08/10/2020,Thursday,October,Oct,10,4,2020
20201009,09/10/2020,Friday,October,Oct,10,4,2020
20201010,10/10/2020,Saturday,October,Oct,10,4,2020
20201011,11/10/2020,Sunday,October,Oct,10,4,2020
20201012,12/10/2020,Monday,October,Oct,10,4,2020
20201013,13/10/2020,Tuesday,October,Oct,10,4,2020
20201014,14/10/2020,Wednesday,October,Oct,10,4,2020
20201015,15/10/2020,Thursday,October,Oct,10,4,2020
20201016,16/10/2020,Friday,October,Oct,10,4,2020
20201017,17/10/2020,Saturday,October,Oct,10,4,2020
20201018,18/10/2020,Sunday,October,Oct,10,4,2020
20201019,19/10/2020,Monday,October,Oct,10,4,2020
20201020,20/10/2020,Tuesday,October,Oct,10,4,2020
20201021,21/10/2020,Wednesday,October,Oct,10,4,2020
20201022,22/10/2020,Thursday,October,Oct,10,4,2020
20201023,23/10/2020,Friday,October,Oct,10,4,2020
20201024,24/10/2020,Saturday,October,Oct,10,4,2020
20201025,25/10/2020,Sunday,October,Oct,10,4,2020
20201026,26/10/2020,Monday,October,Oct,10,4,2020
20201027,27/10/2020,Tuesday,October,Oct,10,4,2020
20201028,28/10/2020,Wednesday,October,Oct,10,4,2020
20201029,29/10/2020,Thursday,October,Oct,10,4,2020
20201030,30/10/2020,Friday,October,Oct,10,4,2020
20201031,31/10/2020,Saturday,October,Oct,10,4,2020
20201101,01/11/2020,Sunday,November,Nov,11,4,2020
20201102,02/11/2020,Monday,November,Nov,11,4,2020
20201103,03/11/2020,Tuesday,November,Nov,11,4,2020
20201104,04/11/2020,Wednesday,November,Nov,11,4,2020
20201105,05/11/2020,Thursday,November,Nov,11,4,2020
20201106,06/11/2020,Friday,November,Nov,11,4,2020
20201107,07/11/2020,Saturday,November,Nov,11,4,2020
20201108,08/11/2020,Sunday,November,Nov,11,4,2020
20201109,09/11/2020,Monday,November,Nov,11,4,2020
20201110,10/11/2020,Tuesday,November,Nov,11,4,2020
20201111,11/11/2020,Wednesday,November,Nov,11,4,2020
20201112,12/11/2020,Thursday,November,Nov,11,4,2020
20201113,13/11/2020,Friday,November,Nov,11,4,2020
20201114,14/11/2020,Saturday,November,Nov,11,4,2020
20201115,15/11/2020,Sunday,November,Nov,11,4,2020
20201116,16/11/2020,Monday,November,Nov,11,4,2020
20201117,17/11/2020,Tuesday,November,Nov,11,4,2020
20201118,18/11/2020,Wednesday,November,Nov,11,4,2020
20201119,19/11/2020,Thursday,November,Nov,11,4,2020
20201120,20/11/2020,Friday,November,Nov,11,4,2020
20201121,21/11/2020,Saturday,November,Nov,11,4,2020
20201122,22/11/2020,Sunday,November,Nov,11,4,2020
20201123,23/11/2020,Monday,November,Nov,11,4,2020
20201124,24/11/2020,Tuesday,November,Nov,11,4,2020
20201125,25/11/2020,Wednesday,November,Nov,11,4,2020
20201126,26/11/2020,Thursday,November,Nov,11,4,2020
20201127,27/11/2020,Friday,November,Nov,11,4,2020
20201128,28/11/2020,Saturday,November,Nov,11,4,2020
20201129,29/11/2020,Sunday,November,Nov,11,4,2020
20201130,30/11/2020,Monday,November,Nov,11,4,2020
20201201,01/12/2020,Tuesday,December,Dec,12,4,2020
20201202,02/12/2020,Wednesday,December,Dec,12,4,2020
20201203,03/12/2020,Thursday,December,Dec,12,4,2020
20201204,04/12/2020,Friday,December,Dec,12,4,2020
20201205,05/12/2020,Saturday,December,Dec,12,4,2020
20201206,06/12/2020,Sunday,December,Dec,12,4,2020
20201207,07/12/2020,Monday,December,Dec,12,4,2020
20201208,08/12/2020,Tuesday,December,Dec,12,4,2020
20201209,09/12/2020,Wednesday,December,Dec,12,4,2020
20201210,10/12/2020,Thursday,December,Dec,12,4,2020
20201211,11/12/2020,Friday,December,Dec,12,4,2020
20201212,12/12/2020,Saturday,December,Dec,12,4,2020
20201213,13/12/2020,Sunday,December,Dec,12,4,2020
20201214,14/12/2020,Monday,December,Dec,12,4,2020
20201215,15/12/2020,Tuesday,December,Dec,12,4,2020
20201216,16/12/2020,Wednesday,December,Dec,12,4,2020
20201217,17/12/2020,Thursday,December,Dec,12,4,2020
20201218,18/12/2020,Friday,December,Dec,12,4,2020
20201219,19/12/2020,Saturday,December,Dec,12,4,2020
20201220,20/12/2020,Sunday,December,Dec,12,4,2020
20201221,21/12/2020,Monday,December,Dec,12,4,2020
20201222,22/12/2020,Tuesday,December,Dec,12,4,2020
20201223,23/12/2020,Wednesday,December,Dec,12,4,2020
20201224,24/12/2020,Thursday,December,Dec,12,4,2020
20201225,25/12/2020,Friday,December,Dec,12,4,2020
20201226,26/12/2020,Saturday,December,Dec,12,4,2020
20201227,27/12/2020,Sunday,December,Dec,12,4,2020
20201228,28/12/2020,Monday,December,Dec,12,4,2020
20201229,29/12/2020,Tuesday,December,Dec,12,4,2020
20201230,30/12/2020,Wednesday,December,Dec,12,4,2020
20201231,31/12/2020,Thursday,December,Dec,12,4,2020
20210101,01/01/2021,Friday,January,Jan,1,1,2021
20210102,02/01/2021,Saturday,January,Jan,1,1,2021
